EduTrack – Libro de Clases Digital  |  Matriz de Requisitos v2.2  |  Colegio Bernardo O'Higgins,,,,,,,,,,,
DSY1106 – Desarrollo Fullstack III  |  Evaluación Parcial N°1  |  Abril 2026  |  🟨 NEW   🟦 MOD   − sin cambio  |  ADR ✅ = decisión cerrada,,,,,,,,,,,
#,Grupo,Subgrupo,ID,Chg,Tipo,Nombre,Descripción,Criterio de Aceptación,Prioridad,Estado,Notas / Dependencias
▌  BACKEND,,,,,,,,,,,
    Auth Service,,,,,,,,,,,
1,Backend,Auth Service,BE-AUTH-001,MOD,Funcional,Registro y autenticación de usuarios,Registrar usuarios con credenciales; autenticarlos y emitir JWT firmado. Roles y permisos se resuelven en emisión del token.,"Login exitoso → JWT con claims: sub, roles[], exp. Credenciales inválidas → 401.",Alta,Pendiente,
2,Backend,Auth Service,BE-AUTH-002,MOD,Funcional,Emisión y validación de JWT con claims de roles,El token incluye el listado de roles del usuario. API Gateway valida firma y expiración en cada request.,Token expirado → 401. Rol incorrecto para endpoint protegido → 403.,Alta,Pendiente,Algoritmo RS256
3,Backend,Auth Service,BE-AUTH-003,−,Funcional,Refresh token,Emitir refresh tokens de larga duración para renovar access tokens. Refresh tokens son revocables.,Refresh válido → nuevo access token. Refresh revocado → 403.,Media,Pendiente,
4,Backend,Auth Service,BE-AUTH-004,NEW,Funcional,CRUD dinámico de roles,"Crear, leer, actualizar y eliminar roles con nombre y descripción. Roles predefinidos (DOCENTE, ADMIN, SUPERUSER) vienen como seed data mutable. Se pueden crear roles adicionales sin límite.",Rol eliminado no asignable. Seed presente en setup. No se puede eliminar último SUPERUSER activo.,Alta,Pendiente,Seed data en bootstrap
5,Backend,Auth Service,BE-AUTH-005,NEW,Funcional,Modelo de permisos Unix-style por recurso genérico,"Permisos como flags numéricos (r=4, w=2, x=1) por par (role_uuid, resource_uuid). resource_uuid es opaco en Auth; el MS dueño registra sus propios resource_uuids. Permiso efectivo = unión de flags de todos los roles del usuario.",Flag r=4 → puede leer. Sin flag w=2 → 403 en escritura. Unión de flags de múltiples roles evaluada correctamente.,Alta,Pendiente,resource_uuid opaco en Auth Service
6,Backend,Auth Service,BE-AUTH-006,MOD,Funcional,Asignación y revocación de roles a usuarios,Endpoint para asignar/revocar roles a un usuario. Permisos granulares por usuario individual (ej: qué docente accede a qué curso) se delegan al MS de dominio correspondiente.,Asignación refleja en el siguiente JWT. Revocación invalida sesiones tras TTL.,Alta,Pendiente,Permisos por usuario: fuera de scope de Auth Service
7,Backend,Auth Service,BE-AUTH-007,NEW,Funcional,CRUD de permisos por rol sobre recursos,"Asociar, actualizar y revocar permisos (valor numérico Unix) sobre un resource_uuid a un rol dado.",Permiso actualizado refleja en el siguiente token. Historial de cambios auditable.,Alta,Pendiente,
8,Backend,Auth Service,BE-AUTH-008,−,No Funcional,Tiempo de respuesta de autenticación < 500 ms,El endpoint de login debe responder en < 500 ms bajo carga normal.,p95 < 500 ms con 100 usuarios concurrentes.,Media,Pendiente,
    Course Service,,,,,,,,,,,
9,Backend,Course Service,BE-CRS-001,−,Funcional,CRUD de cursos,"Crear, leer, actualizar y eliminar cursos. Eliminación lógica.",Curso eliminado no aparece en listado activo. Historial preservado.,Alta,Pendiente,
10,Backend,Course Service,BE-CRS-002,MOD,Funcional,Asignación de docentes con permisos granulares por curso,"Course Service gestiona la relación docente-curso con nivel de acceso (lectura/escritura). Este es el permiso granular por usuario en contexto de curso, complementario al modelo de roles de Auth Service.",Docente con escritura puede registrar notas. Solo lectura → 403 en escritura.,Alta,Pendiente,Permiso granular por usuario delegado a este servicio
11,Backend,Course Service,BE-CRS-003,−,Funcional,Listado de cursos filtrado por docente autenticado,Retornar solo los cursos a los que el docente tiene acceso según asignaciones en este servicio.,Docente A no ve cursos de Docente B sin asignación explícita.,Alta,Pendiente,
    Student Service,,,,,,,,,,,
12,Backend,Student Service,BE-STU-001,−,Funcional,Registro de alumnos,"CRUD con RUT, nombre, apellido, fecha de nacimiento, curso asignado. Validación de RUT chileno.",RUT duplicado → 409. RUT inválido → 422.,Alta,Pendiente,
13,Backend,Student Service,BE-STU-002,−,Funcional,Registro de apoderados,"Asociar apoderados a cada alumno. Al crear, publicar evento de bienvenida.",Apoderado creado dispara evento async a Notification Service.,Alta,Pendiente,Evento RabbitMQ
14,Backend,Student Service,BE-STU-003,−,Funcional,Traslado de alumno entre cursos,Reasignar alumno conservando historial académico.,Notas y asistencia previas permanecen asociadas al alumno.,Media,Pendiente,
15,Backend,Student Service,BE-STU-004,−,No Funcional,Publicación de eventos de ciclo de vida del alumno,Publicar eventos de creación/eliminación/traslado para consistencia en servicios dependientes.,Alumno eliminado genera evento. Attendance Service deja de aceptar registros para ese alumno.,Alta,Pendiente,Evento RabbitMQ
    Content Service,,,,,,,,,,,
16,Backend,Content Service,BE-CNT-001,NEW,Funcional,Jerarquía de contenido configurable (árbol global),"Estructura jerárquica del contenido definida como árbol de nodos configurables globalmente. Cada nodo: nombre, descripción y orden. Todos los nodos configurables (incluidos raíz y hoja). Seed: Semestre > Asignatura > Unidad > Clase.","Se puede crear, reordenar y renombrar cualquier nivel. Seed precargado en bootstrap. Cambios no destructivos.",Alta,Pendiente,Jerarquía global — no por curso
17,Backend,Content Service,BE-CNT-002,MOD,Funcional,CRUD de nodos de contenido según jerarquía configurada,"Crear, leer, actualizar y eliminar instancias de cada nivel jerárquico. Validación padre-hijo respeta el árbol activo.",No es posible crear nodo de nivel N sin padre de nivel N-1.,Alta,Pendiente,
18,Backend,Content Service,BE-CNT-003,−,Funcional,Carga y descarga de archivos (S3),Subir archivos en nodo hoja. Generar URLs pre-firmadas para descarga segura.,URL pre-firmada expira en tiempo configurable. Archivo inaccesible sin URL válida.,Alta,Pendiente,Integración AWS S3
19,Backend,Content Service,BE-CNT-004,−,No Funcional,Tamaño máximo de archivo 500 MB,Rechazar archivos > 500 MB.,Upload de 501 MB → 413 con mensaje descriptivo.,Media,Pendiente,
    Assessment Service,,,,,,,,,,,
20,Backend,Assessment Service,BE-ASS-001,−,Funcional,Registro de evaluaciones y notas,"Registrar evaluaciones con nombre, fecha, ponderación y nota (1.0–7.0) por alumno y asignatura.",Nota fuera de rango → 422.,Alta,Pendiente,Escala chilena
